time,solar,wind,consume,battery,grid
2026-05-04 16:35:38,0.2,91.5,153.5,88.0,44.6
2026-05-04 16:35:39,0.4,91.7,153.8,87.5,44.8
2026-05-04 16:35:40,0.2,91.5,153.5,88.0,44.6
2026-05-04 16:35:41,0.4,91.7,153.8,88.9,44.8
2026-05-04 16:35:42,0.2,91.5,153.5,88.4,44.6
2026-05-04 16:35:43,0.4,91.7,153.8,87.8,44.8
2026-05-04 16:35:44,0.2,91.5,153.5,87.0,44.6
2026-05-04 16:35:45,0.4,91.7,153.8,86.3,44.8
2026-05-04 16:35:46,0.2,91.5,153.5,85.6,44.6
2026-05-04 16:35:47,0.4,91.7,153.8,86.2,44.8
2026-05-04 16:35:48,0.2,91.5,153.5,84.8,44.6
2026-05-04 16:35:49,0.4,91.7,153.8,83.8,44.8
2026-05-04 16:35:50,0.2,91.5,153.5,84.3,44.6
2026-05-04 16:35:51,0.4,91.7,153.8,83.9,44.8
2026-05-04 16:35:52,0.2,91.5,153.5,84.9,44.6
2026-05-04 16:35:53,0.4,91.7,153.8,85.4,44.8
2026-05-04 16:35:54,0.2,91.5,153.5,85.6,44.6
2026-05-04 16:35:55,0.4,91.7,153.8,86.8,44.8
2026-05-04 16:35:56,0.2,91.5,153.5,85.7,44.6
2026-05-04 16:35:58,0.4,91.7,153.8,86.3,44.8
2026-05-04 16:35:59,0.2,91.5,153.5,86.1,44.6
2026-05-04 16:36:00,0.4,91.7,153.8,86.9,44.8
2026-05-04 16:36:01,0.2,91.5,153.5,87.4,44.6
2026-05-04 16:36:02,0.4,91.7,153.8,86.7,44.8
2026-05-04 16:36:03,0.2,91.5,153.5,86.6,44.6
2026-05-04 16:36:04,0.4,91.7,153.8,88.0,44.8
2026-05-04 16:36:05,0.2,91.5,153.5,88.2,44.6
2026-05-04 16:36:06,0.4,91.7,153.8,87.4,44.8
2026-05-04 16:36:07,0.2,91.5,153.5,87.5,44.6
2026-05-04 16:36:08,0.4,91.7,153.8,88.0,44.8
2026-05-04 16:36:09,0.2,91.5,153.5,87.7,44.6
2026-05-04 16:36:10,0.4,91.7,153.8,88.9,44.8
2026-05-04 16:36:11,0.2,91.5,153.5,88.9,44.6
2026-05-04 16:36:12,0.4,91.7,153.8,87.8,44.8
2026-05-04 16:36:13,0.2,91.5,153.5,87.1,44.6
2026-05-04 16:36:14,0.4,91.7,153.8,87.8,44.8
2026-05-04 16:36:15,0.2,91.5,153.5,88.6,44.6
2026-05-04 16:36:16,0.4,91.7,153.8,89.6,44.8
2026-05-04 16:36:17,0.2,91.5,153.5,90.3,44.6
2026-05-04 16:36:19,0.4,91.7,153.8,89.7,44.8
2026-05-04 16:36:21,0.2,91.5,153.5,90.6,44.6
2026-05-04 16:36:23,0.4,91.7,153.8,91.2,44.8
2026-05-04 16:36:24,0.2,91.5,153.5,92.5,44.6
2026-05-04 16:36:26,0.4,91.7,153.8,92.8,44.8
2026-05-04 16:36:28,0.2,91.5,153.5,91.7,44.6
2026-05-04 16:36:31,0.4,91.7,153.8,92.8,44.8
2026-05-04 16:36:33,0.2,91.5,153.5,91.5,44.6
2026-05-04 16:36:34,0.4,91.7,153.8,90.7,44.8
2026-05-04 16:36:35,0.2,91.5,153.5,91.0,44.6
2026-05-04 16:36:36,0.4,91.7,153.8,92.1,44.8
2026-05-04 16:36:38,0.2,91.5,153.5,91.1,44.6
2026-05-04 16:36:39,0.4,91.7,153.8,91.8,44.8
2026-05-04 16:36:41,0.2,91.5,153.5,92.3,44.6
2026-05-04 16:36:42,0.4,91.7,153.8,91.2,44.8
2026-05-04 16:36:44,0.2,91.5,153.5,92.4,44.6
2026-05-04 16:36:45,0.4,91.7,153.8,93.6,44.8
2026-05-04 16:36:46,0.2,91.5,153.5,92.1,44.6
2026-05-04 16:36:47,0.4,91.7,153.8,93.4,44.8
2026-05-04 16:36:49,0.2,91.5,153.5,91.9,44.6
2026-05-04 16:36:51,0.4,91.7,153.8,91.4,44.8
2026-05-04 16:36:52,0.2,91.5,153.5,92.1,44.6
2026-05-04 16:36:53,0.4,91.7,153.8,90.7,44.8
2026-05-04 16:36:54,0.2,91.5,153.5,91.7,44.6
2026-05-04 16:36:55,0.4,91.7,153.8,93.1,44.8
2026-05-04 17:48:19,0.2,89.2,158.1,78.7,41.4
2026-05-04 17:48:20,0.0,89.0,157.8,79.6,41.2
2026-05-04 17:48:22,0.2,89.2,158.1,79.4,41.4
2026-05-04 17:48:23,0.0,89.0,157.8,77.8,41.2
2026-05-04 17:48:24,0.2,89.2,158.1,76.7,41.4
2026-05-04 17:48:25,0.0,89.0,157.8,77.6,41.2
2026-05-04 17:48:26,0.2,89.2,158.1,77.3,41.4
2026-05-04 17:48:27,0.0,89.0,157.8,77.4,41.2
2026-05-04 17:48:28,0.2,89.2,158.1,78.7,41.4
2026-05-04 17:48:29,0.0,89.0,157.8,77.8,41.2
2026-05-04 17:48:30,0.2,89.2,158.1,78.2,41.4
2026-05-04 17:48:31,0.0,89.0,157.8,78.1,41.2
2026-05-04 17:48:32,0.2,89.2,158.1,76.7,41.4
2026-05-04 17:48:33,0.0,89.0,157.8,76.9,41.2
2026-05-04 17:48:34,0.2,89.2,158.1,77.9,41.4
2026-05-04 17:48:35,0.0,89.0,157.8,77.0,41.2
2026-05-04 17:48:36,0.2,89.2,158.1,76.5,41.4
2026-05-04 17:48:37,0.0,89.0,157.8,75.5,41.2
2026-05-04 17:48:38,0.2,89.2,158.1,75.5,41.4
2026-05-04 17:48:40,0.0,89.0,157.8,74.2,41.2
2026-05-04 17:48:41,0.2,89.2,158.1,75.0,41.4
2026-05-04 17:48:42,0.0,89.0,157.8,73.8,41.2
2026-05-04 17:48:43,0.2,89.2,158.1,74.9,41.4
2026-05-04 17:48:44,0.0,89.0,157.8,73.6,41.2
2026-05-04 17:48:45,0.2,89.2,158.1,72.8,41.4
2026-05-04 17:48:46,0.0,89.0,157.8,73.6,41.2
2026-05-04 17:48:47,0.2,89.2,158.1,73.6,41.4
2026-05-04 17:48:48,0.0,89.0,157.8,73.3,41.2
2026-05-04 17:48:49,0.2,89.2,158.1,72.6,41.4
2026-05-04 17:48:50,0.0,89.0,157.8,71.5,41.2
2026-05-04 17:48:51,0.2,89.2,158.1,72.8,41.4
2026-05-04 17:48:52,0.0,89.0,157.8,71.7,41.2
2026-05-04 17:48:53,0.2,89.2,158.1,73.0,41.4
2026-05-04 17:48:54,0.0,89.0,157.8,72.3,41.2
2026-05-04 17:48:55,0.2,89.2,158.1,71.4,41.4
2026-05-04 17:48:56,0.0,89.0,157.8,70.6,41.2
2026-05-04 17:48:57,0.2,89.2,158.1,69.6,41.4
2026-05-04 17:48:58,0.0,89.0,157.8,68.7,41.2
2026-05-04 17:48:59,0.2,89.2,158.1,69.3,41.4
2026-05-04 17:49:00,0.0,89.0,157.8,69.5,41.2
2026-05-04 17:49:01,0.2,89.2,158.1,69.4,41.4
2026-05-04 17:49:03,0.0,89.0,157.8,70.3,41.2
2026-05-04 17:49:04,0.2,89.2,158.1,70.9,41.4
2026-05-04 17:49:06,0.0,89.0,157.8,71.0,41.2
2026-05-04 17:49:07,0.2,89.2,158.1,70.1,41.4
2026-05-04 17:49:09,0.0,89.0,157.8,69.1,41.2
2026-05-04 17:49:11,0.2,89.2,158.1,68.5,41.4
2026-05-04 17:49:13,0.0,89.0,157.8,67.6,41.2
2026-05-04 17:49:14,0.2,89.2,158.1,68.7,41.4
2026-05-04 17:49:16,0.0,89.0,157.8,68.8,41.2
2026-05-04 17:49:18,0.2,89.2,158.1,69.2,41.4
2026-05-04 17:49:20,0.0,89.0,157.8,69.3,41.2
2026-05-04 17:49:22,0.2,89.2,158.1,69.3,41.4
2026-05-04 17:49:23,0.0,89.0,157.8,68.2,41.2
2026-05-04 17:49:24,0.2,89.2,158.1,68.1,41.4
2026-05-04 17:49:25,0.0,89.0,157.8,68.2,41.2
2026-05-04 17:49:27,0.2,89.2,158.1,68.5,41.4
2026-05-04 17:49:28,0.0,89.0,157.8,67.6,41.2
2026-05-04 17:49:30,0.2,89.2,158.1,69.0,41.4
2026-05-04 17:49:31,0.0,89.0,157.8,67.5,41.2
2026-05-04 17:49:33,0.2,89.2,158.1,66.4,41.4
2026-05-04 17:49:35,0.0,89.0,157.8,67.6,41.2
2026-05-04 17:49:36,0.2,89.2,158.1,67.1,41.4
2026-05-04 17:49:37,0.0,89.0,157.8,66.1,41.2
2026-05-04 17:49:39,0.2,89.2,158.1,66.8,41.4
2026-05-04 17:49:40,0.0,89.0,157.8,66.2,41.2
2026-05-04 17:49:42,0.2,89.2,158.1,67.5,41.4
2026-05-04 17:49:43,0.0,89.0,157.8,68.2,41.2
2026-05-04 17:49:44,0.2,89.2,158.1,67.8,41.4
2026-05-04 17:49:45,0.0,89.0,157.8,67.2,41.2
2026-05-04 17:49:47,0.2,89.2,158.1,66.6,41.4
2026-05-04 17:49:49,0.0,89.0,157.8,65.3,41.2
2026-05-04 17:49:52,0.2,89.2,158.1,65.4,41.4
2026-05-04 17:49:54,0.0,89.0,157.8,64.8,41.2
2026-05-04 17:49:58,0.2,89.2,158.1,65.5,41.4
2026-05-04 17:50:00,0.0,89.0,157.8,66.4,41.2
2026-05-04 17:50:01,0.2,89.2,158.1,65.3,41.4
2026-05-04 17:50:03,0.0,89.0,157.8,65.3,41.2
2026-05-04 17:50:04,0.2,89.2,158.1,65.3,41.4
2026-05-04 17:50:05,0.0,89.0,157.8,66.2,41.2
2026-05-04 17:50:07,0.2,89.2,158.1,65.2,41.4
2026-05-04 17:50:08,0.0,89.0,157.8,64.2,41.2
2026-05-04 17:50:09,0.2,89.2,158.1,64.2,41.4
2026-05-04 17:50:10,0.0,89.0,157.8,63.8,41.2
2026-05-04 17:50:12,0.2,89.2,158.1,63.2,41.4
2026-05-04 17:50:13,0.0,89.0,157.8,62.4,41.2
2026-05-04 17:50:14,0.2,89.2,158.1,62.3,41.4
2026-05-04 17:50:15,0.0,89.0,157.8,62.2,41.2
2026-05-04 17:50:16,0.2,89.2,158.1,62.4,41.4
2026-05-04 17:50:17,0.0,89.0,157.8,63.1,41.2
2026-05-04 17:50:18,0.2,89.2,158.1,64.1,41.4
2026-05-04 17:50:19,0.0,89.0,157.8,65.2,41.2
2026-05-04 17:50:20,0.2,89.2,158.1,65.6,41.4
2026-05-04 17:50:21,0.0,89.0,157.8,67.0,41.2
2026-05-04 17:50:22,0.2,89.2,158.1,65.6,41.4
2026-05-04 17:50:23,0.0,89.0,157.8,64.7,41.2
2026-05-04 17:50:24,0.2,89.2,158.1,64.6,41.4
2026-05-04 17:50:25,0.0,89.0,157.8,65.1,41.2
2026-05-04 17:50:26,0.2,89.2,158.1,66.3,41.4
2026-05-04 17:50:27,0.0,89.0,157.8,66.5,41.2
2026-05-04 17:50:28,0.2,89.2,158.1,66.7,41.4
